Year,Age,Gender,People
2003,75,Female,33050.49
2004,75,Female,35138.5
2005,75,Female,39374.42
2006,75,Female,34527.69
1992,76,Female,20291.34
1993,76,Female,21505.03
1994,76,Female,21435.16
1995,76,Female,21227.08
1996,76,Female,24071.43
1997,76,Female,21433.72
1998,76,Female,23978.62
1999,76,Female,22718.45
2000,76,Female,24638.78
2001,76,Female,25164.73
2002,76,Female,26607.48
2003,76,Female,29466.44
2004,76,Female,32054.51
2005,76,Female,34036.66
2006,76,Female,38281.75
1992,77,Female,18754.02
1993,77,Female,19481.42
1994,77,Female,20554.11
1995,77,Female,20652.93
1996,77,Female,20366.44
1997,77,Female,23088.82
1998,77,Female,20645.41
1999,77,Female,23063.35
2000,77,Female,21905.1
2001,77,Female,23878.99
2002,77,Female,24165.6
2003,77,Female,25650.12
2004,77,Female,28518.11
2005,77,Female,30962.16
2006,77,Female,32884.05
1992,78,Female,18518.34
1993,78,Female,17914.23
1994,78,Female,18643.9
1995,78,Female,19679.73
1996,78,Female,19752.8
1997,78,Female,19466.59
1998,78,Female,22100.23
1999,78,Female,19775.41
2000,78,Female,22123
2001,78,Female,21000.84
2002,78,Female,23061.34
2003,78,Female,23152.74
2004,78,Female,24676.4
2005,78,Female,27506.23
2006,78,Female,29822.27
1992,79,Female,16341.95
1993,79,Female,17571.58
1994,79,Female,17079.15
1995,79,Female,17815.66
1996,79,Female,18680.45
1997,79,Female,18811.8
1998,79,Female,18582.01
1999,79,Female,21030.13
2000,79,Female,18838.23
2001,79,Female,21147.05
2002,79,Female,20081.06
2003,79,Female,22109.96
2004,79,Female,22110.45
2005,79,Female,23620.13
2006,79,Female,26404.23
1992,80,Female,15908.58
1993,80,Female,16808.79
1994,80,Female,18074.45
1995,80,Female,18190.71
1996,80,Female,18491.07
1997,80,Female,17659.04
1998,80,Female,17921.95
1999,80,Female,17584.92
2000,80,Female,19892.03
2001,80,Female,17965.78
2002,80,Female,20111.28
2003,80,Female,19106.7
2004,80,Female,21026.55
2005,80,Female,20968.65
2006,80,Female,22463.52
1992,81,Female,14338.08
1993,81,Female,14912.99
1994,81,Female,15784.59
1995,81,Female,16999.85
1996,81,Female,17153.97
1997,81,Female,17431.8
1998,81,Female,16669.51
1999,81,Female,16899.16
2000,81,Female,16525.24
2001,81,Female,18835.39
2002,81,Female,16995.5
2003,81,Female,19078.09
2004,81,Female,18027.86
2005,81,Female,19882.78
2006,81,Female,19792.94
1992,82,Female,12593.54
1993,82,Female,13315.51
1994,82,Female,13870.87
1995,82,Female,14767.43
1996,82,Female,15882.75
1997,82,Female,16090.52
1998,82,Female,16371.51
1999,82,Female,15612.02
2000,82,Female,15766.97
2001,82,Female,15594.17
2002,82,Female,17698.56
2003,82,Female,15949.37
2004,82,Female,17961.06
2005,82,Female,16910.36
2006,82,Female,18724.3
1992,83,Female,10979.28
1993,83,Female,11597.31
1994,83,Female,12244.5
1995,83,Female,12875.24
1996,83,Female,13712.14
1997,83,Female,14773.29
1998,83,Female,15042.84
1999,83,Female,15272.98
2000,83,Female,14438.51
2001,83,Female,14797.46
2002,83,Female,14539.69
2003,83,Female,16598.58
2004,83,Female,14769.91
2005,83,Female,16783.27
2006,83,Female,15730.09
1992,84,Female,9617.35
1993,84,Female,10028.98
1994,84,Female,10623.4
1995,84,Female,11259.77
1996,84,Female,11862.1
1997,84,Female,12600.4
1998,84,Female,13707.36
1999,84,Female,13923.85
2000,84,Female,14106.11
2001,84,Female,13397.36
2002,84,Female,13748.39
2003,84,Female,13500.95
2004,84,Female,15456.57
2005,84,Female,13575.57
2006,84,Female,15578.16
1992,85,Female,8506.35
1993,85,Female,8714.8
1994,85,Female,9101.76
1995,85,Female,9664.74
1996,85,Female,10243.75
1997,85,Female,10756.96
1998,85,Female,11501.82
1999,85,Female,12584.48
2000,85,Female,12723.16
2001,85,Female,13044.05
2002,85,Female,12332.22
2003,85,Female,12669.77
2004,85,Female,12411.23
2005,85,Female,14308.27
2006,85,Female,12384.17
1992,86,Female,7183.81
1993,86,Female,7640.35
1994,86,Female,7801.97
1995,86,Female,8201.24
1996,86,Female,8717.61
1997,86,Female,9239.52
1998,86,Female,9727.52
1999,86,Female,10409.61
2000,86,Female,11363.12
2001,86,Female,11641.3
2002,86,Female,11969.57
2003,86,Female,11241.49
2004,86,Female,11570.06
2005,86,Female,11245.7
2006,86,Female,13155.39
1992,87,Female,5862.42
1993,87,Female,6371.34
1994,87,Female,6778.45
1995,87,Female,6950.02
1996,87,Female,7311.5
1997,87,Female,7803.64
1998,87,Female,8292.65
1999,87,Female,8664.89
2000,87,Female,9257
2001,87,Female,10286.49
2002,87,Female,10522.11
2003,87,Female,10928.95
2004,87,Female,10144.85
2005,87,Female,10386.96
2006,87,Female,10079.58
1992,88,Female,4865.4
1993,88,Female,5133.44
1994,88,Female,5574.94
1995,88,Female,5960.16
1996,88,Female,6114.43
1997,88,Female,6427.53
1998,88,Female,6893.5
1999,88,Female,7283.09
2000,88,Female,7604.54
2001,88,Female,8256.48
2002,88,Female,9178.75
2003,88,Female,9501.95
2004,88,Female,9871.79
2005,88,Female,8971.99
2006,88,Female,9200.98
1992,89,Female,4005.45
1993,89,Female,4203.91
1994,89,Female,4403.54
1995,89,Female,4827.04
1996,89,Female,5186.9
1997,89,Female,5297.16
1998,89,Female,5571.09
1999,89,Female,5959.09
2000,89,Female,6307.17
2001,89,Female,6667.7
2002,89,Female,7251.7
2003,89,Female,8191.52
2004,89,Female,8458.8
2005,89,Female,8752.47
2006,89,Female,7858.38
1992,90,Female,3227.36
1993,90,Female,3389.55
1994,90,Female,3545.97
1995,90,Female,3745.99
1996,90,Female,4138.15
1997,90,Female,4437.07
1998,90,Female,4513.61
1999,90,Female,4735.73
2000,90,Female,5078.76
2001,90,Female,5413.62
2002,90,Female,5767.03
2003,90,Female,6396.54
2004,90,Female,7159.06
2005,90,Female,7408.68
2006,90,Female,7717.45
1992,91,Female,2535.51
1993,91,Female,2671.36
1994,91,Female,2838.09
1995,91,Female,2989.96
1996,91,Female,3158.43
1997,91,Female,3512.52
1998,91,Female,3727.62
1999,91,Female,3776.81
2000,91,Female,3954.08
2001,91,Female,4302.25
2002,91,Female,4615.35
2003,91,Female,5000.57
2004,91,Female,5489.24
2005,91,Female,6168.04
2006,91,Female,6441.57
1992,92,Female,1849.18
1993,92,Female,2083.12
1994,92,Female,2182.97
1995,92,Female,2355.5
1996,92,Female,2467.44
1997,92,Female,2630.16
1998,92,Female,2894.63
1999,92,Female,3047.59
2000,92,Female,3082.78
2001,92,Female,3307.65
2002,92,Female,3570.49
2003,92,Female,3926.73
2004,92,Female,4225.37
2005,92,Female,4647.1
2006,92,Female,5271.82
1992,93,Female,1349.52
1993,93,Female,1493.58
1994,93,Female,1669.33
1995,93,Female,1791.82
1996,93,Female,1916.82
1997,93,Female,2011.25
1998,93,Female,2139.08
1999,93,Female,2340.55
2000,93,Female,2439.39
2001,93,Female,2506.89
2002,93,Female,2679.12
2003,93,Female,2994.97
2004,93,Female,3273.59
2005,93,Female,3503.57
2006,93,Female,3896.16
1992,94,Female,1025.43
1993,94,Female,1069.29
1994,94,Female,1185.8
1995,94,Female,1350.38
1996,94,Female,1445.51
1997,94,Female,1549.41
1998,94,Female,1583.89
1999,94,Female,1703.48
2000,94,Female,1831.63
2001,94,Female,1933.46
2002,94,Female,1987.79
2003,94,Female,2181.4
2004,94,Female,2445.76
2005,94,Female,2643.11
2006,94,Female,2870.12
1992,95,Female,748.92
1993,95,Female,797.88
1994,95,Female,823.07
1995,95,Female,933.5
1996,95,Female,1076.54
1997,95,Female,1142.1
1998,95,Female,1166.58
1999,95,Female,1211.36
2000,95,Female,1288.55
2001,95,Female,1423.21
2002,95,Female,1517.73
2003,95,Female,1570.88
2004,95,Female,1738.83
2005,95,Female,1925.15
2006,95,Female,2117.02
1992,96,Female,528.66
1993,96,Female,551.14
1994,96,Female,605.38
1995,96,Female,630.77
1996,96,Female,742.03
1997,96,Female,838.35
1998,96,Female,871.44
1999,96,Female,881.08
2000,96,Female,899.68
2001,96,Female,975.05
2002,96,Female,1101.58
2003,96,Female,1171.61
2004,96,Female,1217.74
2005,96,Female,1357.37
2006,96,Female,1521.95
1992,97,Female,363.69
1993,97,Female,381.2
1994,97,Female,414.75
1995,97,Female,465.7
1996,97,Female,483.1
1997,97,Female,575.18
1998,97,Female,643.39
1999,97,Female,648.13
2000,97,Female,637.87
2001,97,Female,646.42
2002,97,Female,733.93
2003,97,Female,832.51
2004,97,Female,892.46
2005,97,Female,940.87
2006,97,Female,1049.12
1992,98,Female,237.73
1993,98,Female,267.98
1994,98,Female,280.98
1995,98,Female,324.37
1996,98,Female,338.2
1997,98,Female,357.16
1998,98,Female,428.7
1999,98,Female,478.73
2000,98,Female,447.13
2001,98,Female,444.31
2002,98,Female,478.55
2003,98,Female,547.69
2004,98,Female,624.68
2005,98,Female,658.19
2006,98,Female,707.95
1992,99,Female,154.68
1993,99,Female,170.46
1994,99,Female,187.95
1995,99,Female,211.7
1996,99,Female,235.96
1997,99,Female,247.06
1998,99,Female,255.63
1999,99,Female,304.13
2000,99,Female,330.55
2001,99,Female,309.22
2002,99,Female,321.83
2003,99,Female,347.08
2004,99,Female,384.71
2005,99,Female,448.71
2006,99,Female,482.47
1992,100,Female,101.21
1993,100,Female,104.27
1994,100,Female,115.63
1995,100,Female,131.28
1996,100,Female,153.36
1997,100,Female,176.5
1998,100,Female,167.76
1999,100,Female,160.51
2000,100,Female,197.5
2001,100,Female,211.58
2002,100,Female,216.56
2003,100,Female,226.09
2004,100,Female,237.11
2005,100,Female,266.63
2006,100,Female,314.25
1992,101,Female,67.83
1993,101,Female,67.05
1994,101,Female,69.2
1995,101,Female,77.88
1996,101,Female,89.56
1997,101,Female,116.1
1998,101,Female,119.17
1999,101,Female,107.85
2000,101,Female,101.82
2001,101,Female,120.77
2002,101,Female,141.46
2003,101,Female,151.11
2004,101,Female,152.36
2005,101,Female,157.09
2006,101,Female,187.59
1992,102,Female,45.55
1993,102,Female,44.83
1994,102,Female,45.68
1995,102,Female,49.92
1996,102,Female,53
1997,102,Female,64.35
1998,102,Female,75.86
1999,102,Female,79.3
2000,102,Female,69.39
2001,102,Female,66.88
2002,102,Female,78.27
2003,102,Female,93.01
2004,102,Female,95.9
2005,102,Female,100.97
2006,102,Female,106.45
1992,103,Female,26.25
1993,103,Female,31.78
1994,103,Female,33.52
1995,103,Female,31.98
1996,103,Female,33
1997,103,Female,36.95
1998,103,Female,42.65
1999,103,Female,50.99
2000,103,Female,51.6
2001,103,Female,43.11
2002,103,Female,44.78
2003,103,Female,47.27
2004,103,Female,61.9
2005,103,Female,59.71
2006,103,Female,63.14
1992,104,Female,17.61
1993,104,Female,17.4
1994,104,Female,21.7
1995,104,Female,20.76
1996,104,Female,21.93
1997,104,Female,23.62
1998,104,Female,23.95
1999,104,Female,28.44
2000,104,Female,33.07
2001,104,Female,28.69
2002,104,Female,30
2003,104,Female,25.41
2004,104,Female,32.35
2005,104,Female,38.7
2006,104,Female,39.71
1992,105,Female,11.15
1993,105,Female,10.42
1994,105,Female,10.4
1995,105,Female,12.93
1996,105,Female,14.45
1997,105,Female,14.41
1998,105,Female,12.49
1999,105,Female,15.04
2000,105,Female,16.42
2001,105,Female,16.68
2002,105,Female,18.71
2003,105,Female,16.16
2004,105,Female,15.42
2005,105,Female,20.67
2006,105,Female,24.67
1992,106,Female,6.03
1993,106,Female,5.54
1994,106,Female,7.34
1995,106,Female,5.5
1996,106,Female,7.59
1997,106,Female,8.6
1998,106,Female,6.92
1999,106,Female,7.64
2000,106,Female,9.33
2001,106,Female,8.18
2002,106,Female,9.37
2003,106,Female,9.59
2004,106,Female,8.08
2005,106,Female,9.65
2006,106,Female,11.58
1992,107,Female,3.14
1993,107,Female,2.58
1994,107,Female,3.81
1995,107,Female,3.71
1996,107,Female,2.91
1997,107,Female,4.25
1998,107,Female,3.61
1999,107,Female,4.13
2000,107,Female,4.6
2001,107,Female,4.4
2002,107,Female,4.27
2003,107,Female,4.39
2004,107,Female,4.27
2005,107,Female,4.86
2006,107,Female,4.97
1992,108,Female,1.22
1993,108,Female,1.06
1994,108,Female,1.62
1995,108,Female,1.59
1996,108,Female,1.94
1997,108,Female,1.33
1998,108,Female,1.42
1999,108,Female,1.95
2000,108,Female,2.42
2001,108,Female,1.9
2002,108,Female,2.21
2003,108,Female,1.59
2004,108,Female,1.71
2005,108,Female,2.3
2006,108,Female,2.23
1992,109,Female,0.7
1993,109,Female,0
1994,109,Female,0.77
1995,109,Female,0.31
1996,109,Female,0.61
1997,109,Female,0.89
1998,109,Female,0
1999,109,Female,0.58
2000,109,Female,0.95
2001,109,Female,0.86
2002,109,Female,0.78
2003,109,Female,0.7
2004,109,Female,0.25
2005,109,Female,0.78
2006,109,Female,0.67
1992,110+,Female,0
1993,110+,Female,0
1994,110+,Female,0
1995,110+,Female,0
1996,110+,Female,0
1997,110+,Female,0.28
1998,110+,Female,0
1999,110+,Female,0
2000,110+,Female,0.28
2001,110+,Female,0
2002,110+,Female,0.25
2003,110+,Female,0
2004,110+,Female,0
2005,110+,Female,0
2006,110+,Female,0
1992,64,Male,37655.28
1993,64,Male,36940.4
1994,64,Male,41394.78
1995,64,Male,38076.13
1996,64,Male,37285.31
1997,64,Male,36329.46
1998,64,Male,36118.1
1999,64,Male,38123.75
2000,64,Male,38833.99
2001,64,Male,43610.5
2002,64,Male,43313.39
2003,64,Male,42533.96
2004,64,Male,48608.98
2005,64,Male,45388.2
2006,64,Male,47291.86
1992,65,Male,35035.67
1993,65,Male,36744.06
1994,65,Male,36151.65
1995,65,Male,40671.79
1996,65,Male,37347.78
1997,65,Male,36525.77
1998,65,Male,35498.26
1999,65,Male,35186.01
2000,65,Male,37559.26
2001,65,Male,38165.11
2002,65,Male,43490.82
2003,65,Male,42683.46
2004,65,Male,41755.36
2005,65,Male,47768
2006,65,Male,44539.09
1992,66,Male,28838.76
1993,66,Male,34126.88
1994,66,Male,35712.77
1995,66,Male,35358.08
1996,66,Male,39797.47
1997,66,Male,36540.93
1998,66,Male,35795.51
1999,66,Male,34667.97
2000,66,Male,34199.41
2001,66,Male,36995.48
2002,66,Male,37392.74
2003,66,Male,42871.32
2004,66,Male,41875.2
2005,66,Male,40919.21
2006,66,Male,46883.3
1992,67,Male,27731.29
1993,67,Male,28085.24
1994,67,Male,33070.33
1995,67,Male,34614.02
1996,67,Male,34424.95
1997,67,Male,38900.42
1998,67,Male,35743.61
1999,67,Male,35058.07
2000,67,Male,33772.5
2001,67,Male,33197.34
2002,67,Male,36344.46
2003,67,Male,36552.36
2004,67,Male,41974.08
2005,67,Male,41017.97
2006,67,Male,40033.28
1992,68,Male,24072.07
1993,68,Male,26928.84
1994,68,Male,27268.03
1995,68,Male,31944.77
1996,68,Male,33477.26
1997,68,Male,33512.91
1998,68,Male,37957.06
1999,68,Male,34933.58
2000,68,Male,34249.67
2001,68,Male,32815.7
2002,68,Male,32140.97
2003,68,Male,35520.29
2004,68,Male,35612.45
2005,68,Male,41077.37
2006,68,Male,40122.4
1992,69,Male,22328.2
1993,69,Male,23418.67
1994,69,Male,26085.72
1995,69,Male,26438.72
1996,69,Male,30795.63
1997,69,Male,32301.04
1998,69,Male,32590.47
1999,69,Male,36982.96
2000,69,Male,34064.44
2001,69,Male,33403.73
2002,69,Male,31801.18
2003,69,Male,31141.41
2004,69,Male,34601.34
2005,69,Male,34680.08
2006,69,Male,40131.66
1992,70,Male,22393.6
1993,70,Male,21578.57
1994,70,Male,22789.2
1995,70,Male,25231.45
1996,70,Male,25500.06
1997,70,Male,29603.6
1998,70,Male,31100.73
1999,70,Male,31592.84
2000,70,Male,35975.21
2001,70,Male,33210.98
2002,70,Male,32448.3
2003,70,Male,30799.42
2004,70,Male,30168.4
2005,70,Male,33615.47
2006,70,Male,33675.29
1992,71,Male,20791.75
1993,71,Male,21539.94
1994,71,Male,20853.79
1995,71,Male,22117.05
1996,71,Male,24277.34
1997,71,Male,24544.97
1998,71,Male,28400.97
1999,71,Male,29836.3
2000,71,Male,30562.45
2001,71,Male,34996.58
2002,71,Male,32213.33
2003,71,Male,31417.06
2004,71,Male,29729.39
2005,71,Male,29107.97
2006,71,Male,32579.52
1992,72,Male,21411.86
1993,72,Male,19899.13
1994,72,Male,20687.96
1995,72,Male,20057.49
1996,72,Male,21401.87
1997,72,Male,23264.8
1998,72,Male,23649.46
1999,72,Male,27142.64
2000,72,Male,28520.89
2001,72,Male,29522.45
2002,72,Male,33901.62
2003,72,Male,31052.13
2004,72,Male,30315.33
2005,72,Male,28590.19
2006,72,Male,28034.47
1992,73,Male,17745.44
1993,73,Male,20431.47
1994,73,Male,18981.57
1995,73,Male,19796.22
1996,73,Male,19264.61
1997,73,Male,20637.16
1998,73,Male,22297.36
1999,73,Male,22673.74
2000,73,Male,25842.46
2001,73,Male,27199.06
2002,73,Male,28422.27
2003,73,Male,32695.71
2004,73,Male,29842.08
2005,73,Male,29096.66
2006,73,Male,27446.05
1992,74,Male,16931.61
1993,74,Male,16846.34
1994,74,Male,19401.67
1995,74,Male,18065.95
1996,74,Male,18859.32
1997,74,Male,18434.11
1998,74,Male,19867.86
1999,74,Male,21292.32
2000,74,Male,21707.32
2001,74,Male,24541.55
2002,74,Male,25863.87
2003,74,Male,27203.16
2004,74,Male,31429.12
2005,74,Male,28517.34
2006,74,Male,27908.97
1992,75,Male,16139.2
1993,75,Male,16033.27
1994,75,Male,15894.73
1995,75,Male,18383.3
1996,75,Male,17070.22
1997,75,Male,17906.97
1998,75,Male,17578.63
1999,75,Male,19084.39
2000,75,Male,20292.07
2001,75,Male,20707.06
2002,75,Male,23249.49
2003,75,Male,24607.99
2004,75,Male,25901.4
2005,75,Male,30164.1
2006,75,Male,27158.02
1992,76,Male,14605.95
1993,76,Male,15181.76
1994,76,Male,15055.89
1995,76,Male,14983.91
1996,76,Male,17328.05
1997,76,Male,16093.67
1998,76,Male,16986.84
1999,76,Male,16697.3
2000,76,Male,18260.72
2001,76,Male,19258.26
2002,76,Male,19713.37
2003,76,Male,22075.68
2004,76,Male,23335.44
2005,76,Male,24609.09
2006,76,Male,28805.56
1992,77,Male,13551.04
1993,77,Male,13683.25
1994,77,Male,14221.97
1995,77,Male,14175.82
1996,77,Male,14089.72
1997,77,Male,16292.79
1998,77,Male,15155.44
1999,77,Male,16051.67
2000,77,Male,15749.06
2001,77,Male,17474.75
2002,77,Male,18224.08
2003,77,Male,18638.01
2004,77,Male,20912.66
2005,77,Male,22068.53
2006,77,Male,23282.56
1992,78,Male,12747.12
1993,78,Male,12626.22
1994,78,Male,12804.13
1995,78,Male,13317.42
1996,78,Male,13291.74
1997,78,Male,13143.6
1998,78,Male,15233.12
1999,78,Male,14181.17
2000,78,Male,15037.53
2001,78,Male,14900.45
2002,78,Male,16667.36
2003,78,Male,17130.32
2004,78,Male,17495.56
2005,78,Male,19752.41
2006,78,Male,20729.32
1992,79,Male,10894.99
1993,79,Male,11765.01
1994,79,Male,11705.78
1995,79,Male,11910.78
1996,79,Male,12353.85
1997,79,Male,12310.78
1998,79,Male,12274.78
1999,79,Male,14157.02
2000,79,Male,13156.95
2001,79,Male,14102.32
2002,79,Male,14002.06
2003,79,Male,15694.79
2004,79,Male,16014.44
2005,79,Male,16288.6
2006,79,Male,18565.21
1992,80,Male,10420.09
1993,80,Male,10779.79
1994,80,Male,11756.47
1995,80,Male,12097.22
1996,80,Male,12459.18
1997,80,Male,11394.65
1998,80,Male,11458.68
1999,80,Male,11348.25
2000,80,Male,13035.27
2001,80,Male,12208.15
2002,80,Male,13116.32
2003,80,Male,13017.58
2004,80,Male,14584.82
2005,80,Male,14813.54
2006,80,Male,15150.72
1992,81,Male,9111.6
1993,81,Male,9515.01
1994,81,Male,9841.62
1995,81,Male,10765.73
1996,81,Male,11092.27
1997,81,Male,11496.7
1998,81,Male,10453.74
1999,81,Male,10558.53
2000,81,Male,10406.87
2001,81,Male,12019.35
2002,81,Male,11244.93
2003,81,Male,12090.08
2004,81,Male,11931.18
2005,81,Male,13465.69
2006,81,Male,13684.1
1992,82,Male,7654.75
1993,82,Male,8228.1
1994,82,Male,8586.67
1995,82,Male,8984.47
1996,82,Male,9804.68
1997,82,Male,10129.21
1998,82,Male,10529.79
1999,82,Male,9555.6
2000,82,Male,9646.66
2001,82,Male,9544.1
2002,82,Male,10997.75
2003,82,Male,10261.61
2004,82,Male,11056.3
2005,82,Male,10858.14
2006,82,Male,12372.6
1992,83,Male,6499.56
1993,83,Male,6830.78
1994,83,Male,7304.86
1995,83,Male,7725.1
1996,83,Male,8079.93
1997,83,Male,8876.46
1998,83,Male,9171.2
1999,83,Male,9637.94
2000,83,Male,8600.56
2001,83,Male,8818.21
2002,83,Male,8668.41
2003,83,Male,10032.01
2004,83,Male,9270.09
2005,83,Male,10015.73
2006,83,Male,9808.4
1992,84,Male,5495.93
1993,84,Male,5721.03
1994,84,Male,5990.89
1995,84,Male,6490.12
1996,84,Male,6870.15
1997,84,Male,7235.68
1998,84,Male,7959.14
1999,84,Male,8290.5
2000,84,Male,8669.24
2001,84,Male,7772.91
2002,84,Male,7999.37
2003,84,Male,7792.4
2004,84,Male,9115.17
2005,84,Male,8311.12
2006,84,Male,9004.49
1992,85,Male,4457.75
1993,85,Male,4788.78
1994,85,Male,4967.81
1995,85,Male,5291.59
1996,85,Male,5707.55
1997,85,Male,6058.23
1998,85,Male,6384.74
1999,85,Male,7061.63
2000,85,Male,7360.75
2001,85,Male,7838.82
2002,85,Male,6943.17
2003,85,Male,7171.49
2004,85,Male,6923.73
2005,85,Male,8243.1
2006,85,Male,7363.4
1992,86,Male,3527.15
1993,86,Male,3833.96
1994,86,Male,4106.31
1995,86,Male,4309.99
1996,86,Male,4586.13
1997,86,Male,4961.86
1998,86,Male,5272.37
1999,86,Male,5589.22
2000,86,Male,6198.49
2001,86,Male,6572.19
2002,86,Male,7017.55
2003,86,Male,6169.5
2004,86,Male,6318.88
2005,86,Male,6078.99
2006,86,Male,7419.45
1992,87,Male,2865.7
1993,87,Male,2983.6
1994,87,Male,3233.61
1995,87,Male,3513.51
1996,87,Male,3682.3
1997,87,Male,3951.71
1998,87,Male,4253.43
1999,87,Male,4534.78
2000,87,Male,4825.09
2001,87,Male,5436.59
2002,87,Male,5841.06
2003,87,Male,6306.77
2004,87,Male,5383
2005,87,Male,5477.26
2006,87,Male,5326.25
1992,88,Male,2310.68
1993,88,Male,2399.9
1994,88,Male,2515.21
1995,88,Male,2744.24
1996,88,Male,2966.35
1997,88,Male,3136.98
1998,88,Male,3337.93
1999,88,Male,3585.2
2000,88,Male,3830.82
2001,88,Male,4166.41
2002,88,Male,4765.91
2003,88,Male,5183.38
2004,88,Male,5628.76
2005,88,Male,4620.22
2006,88,Male,4727.43
1992,89,Male,1808.71
1993,89,Male,1915.06
1994,89,Male,1979.25
1995,89,Male,2097.4
1996,89,Male,2294.49
1997,89,Male,2500.34
1998,89,Male,2633.19
1999,89,Male,2777.56
2000,89,Male,2978.9
2001,89,Male,3256.19
2002,89,Male,3577.07
2003,89,Male,4149.37
2004,89,Male,4539.32
2005,89,Male,4956.41
2006,89,Male,3938.64
1992,90,Male,1410.98
1993,90,Male,1495.94
1994,90,Male,1532.07
1995,90,Male,1626.51
1996,90,Male,1732.69
1997,90,Male,1907.35
1998,90,Male,2054.06
1999,90,Male,2120.29
2000,90,Male,2260.19
2001,90,Male,2484.48
2002,90,Male,2756.07
2003,90,Male,3055.51
2004,90,Male,3565.83
